Name,Type,Category,Description,License,GitHub_Stars,NPM_Downloads,Language,Maintainer,Platform_Support,Standards_Compliance,Security_Features,Integration,Documentation_Quality,Flexibility_Score,WCAG_Compliance,Maturity,Last_Updated,Community_Activity,Standards_Compliance_Score,Security_Score,Integration_Score,Total_Score
Style Dictionary,Transform Tool,Open Source Library,Build system for creating cross-platform styles from design tokens,Apache-2.0,4300,39500,JavaScript,Amazon,"All platforms (iOS, Android, CSS, JS, HTML)",DTCG compatible,No built-in token secrets management,"CLI, Node.js module, Figma via plugins",5,5,3,Production Ready,2025-08-28,Very High,4,2,5,24
Tokens Studio for Figma,Design Tool Plugin,Open Source Plugin,Figma plugin for defining and using design tokens with sync capabilities,MIT,1500,8400,TypeScript,Jan Six / Tokens Studio,"Figma, GitHub sync, JSON export",W3C DTCG compatible,GitHub token integration,"Figma native, GitHub, Style Dictionary",5,4,4,Production Ready,2025-08-25,High,5,3,4,25
Radix UI Themes,Component Library with Tokens,Open Source Library,Component library with built-in design tokens system,MIT,7500,50000,TypeScript,WorkOS,"React, CSS",Custom token system,Standard npm security,React applications,5,3,5,Production Ready,2025,Very High,3,3,3,22
Material Design 3 Tokens,Design System Tokens,Open Source System,Google's Material Design 3 design token system,Apache-2.0,12000,100000,Multiple,Google,"Android, Web, Flutter",Material Design spec,Enterprise grade,Material Design ecosystem,5,2,5,Production Ready,2025,Very High,4,4,4,24
Penpot Design Tokens,Design Tool Native,Open Source Tool,First design tool with native design token support,MPL-2.0,2000,1000,ClojureScript,Penpot Team,Web-based design tool,W3C DTCG native,Self-hosted option,"Style Dictionary, JSON export",4,5,4,Production Ready,2025,Medium,5,4,4,26
Atlassian Design Tokens,Design System Tokens,Open Source System,Atlassian's design token system for their design system,Apache-2.0,1200,15000,"TypeScript, CSS",Atlassian,"Web, React",DTCG compatible,Enterprise grade,Atlassian Design System,5,3,5,Production Ready,2025,High,4,4,3,24
GitHub Primer Design Tokens,Design System Tokens,Open Source System,GitHub's Primer design system tokens,MIT,2500,20000,"CSS, JavaScript",GitHub,"Web, React",DTCG compatible,GitHub security standards,"Primer components, GitHub products",5,3,5,Production Ready,2025,High,4,4,4,25
Kiwi.com Orbit Design Tokens,Product Tokens,Open Source System,Travel industry design tokens for booking interfaces,MIT,800,5000,JavaScript,Kiwi.com,"Web, mobile web",DTCG compatible,Standard security,Orbit design system,5,3,5,Production Ready,2025,Medium,4,3,3,23
BC Design Tokens,Government Tokens,Open Source System,British Columbia government design token system,Apache-2.0,150,2000,"TypeScript, CSS",Government of BC,"Web, government systems",DTCG compatible,Government security,BC Design System,5,3,5,Production Ready,2025,Low,4,5,2,24
Mozilla Protocol Tokens,Organization Tokens,Open Source System,Mozilla's design system tokens for Firefox and web products,MPL-2.0,400,8000,"CSS, JavaScript",Mozilla,"Web, Firefox ecosystem",DTCG compatible,Mozilla security standards,Protocol design system,5,3,5,Production Ready,2025,Medium,4,4,3,24
